id,city,country,lat,lng,date,temp,max temp,humidity,cloudiness,wind speed
2126199,Cherskiy,RU,68.75,161.3,1619470643,16.32,16.32,89,45,6.93
1805857,Jieshi,CN,22.81,115.83,1619470643,70.88,70.88,85,100,13.24
1631637,Pemangkat,ID,1.17,108.97,1619470644,77.86,77.86,86,18,3.04
2112539,Iwaki,JP,37.05,140.88,1619470644,41.0,41.0,72,0,3.65
5354943,Half Moon Bay,US,37.46,-122.43,1619470387,58.24,61.0,71,40,9.22
3421193,Paamiut,GL,61.99,-49.67,1619470644,34.84,34.84,91,92,6.4
5866583,Saint Paul Harbor,US,57.79,-152.41,1619470584,44.6,44.6,81,90,9.22
6201424,Mataura,NZ,-46.19,168.86,1619470624,41.0,41.0,84,99,10.0
3372964,Lagoa,PT,39.05,-27.98,1619470645,60.64,60.64,83,98,8.21
964420,Port Elizabeth,ZA,-33.92,25.57,1619470645,64.4,64.4,88,90,9.22
6078372,Moose Factory,CA,51.26,-80.61,1619470646,53.6,53.6,26,75,9.22
4030556,Rikitea,PF,-23.12,-134.97,1619470646,77.36,77.36,75,65,8.95
2618795,Klaksvík,FO,62.23,-6.59,1619470646,41.0,41.0,87,75,20.71
2447513,Arlit,NE,18.74,7.39,1619470508,94.44,94.44,9,99,10.45
3664980,Boa Vista,BR,2.82,-60.67,1619470647,78.8,78.8,83,75,4.61
2156643,Mount Gambier,AU,-37.83,140.77,1619470647,53.6,53.6,87,90,4.61
6185377,Yellowknife,CA,62.46,-114.35,1619470647,7.74,10.0,51,20,13.8
1735106,George Town,MY,5.41,100.34,1619470649,78.98,80.6,83,20,4.7
988698,Knysna,ZA,-34.04,23.05,1619470649,60.8,60.8,94,90,2.3
3355672,Lüderitz,NA,-26.65,15.16,1619470649,61.27,61.27,88,76,7.27
3366880,Hermanus,ZA,-34.42,19.23,1619470650,59.0,59.0,88,47,1.01
5122534,Jamestown,US,42.1,-79.24,1619470650,50.29,53.01,32,20,8.05
2121385,Severo-Kuril'sk,RU,50.68,156.12,1619470650,30.92,30.92,94,100,23.62
6355222,Yulara,AU,-25.24,130.99,1619470612,55.4,55.4,47,0,8.05
3874787,Punta Arenas,CL,-53.15,-70.92,1619470498,44.29,44.6,100,90,10.36
5282297,Bethel,US,41.37,-73.41,1619470638,57.34,59.0,24,1,10.36
5563839,Fortuna,US,40.6,-124.16,1619470651,53.98,55.99,71,75,9.22
6165406,Thompson,CA,55.74,-97.86,1619470651,46.4,46.4,49,75,12.66
5188140,Easton,US,40.69,-75.22,1619470618,59.61,61.0,26,0,12.66
1812256,Dongsheng,CN,39.82,109.98,1619470651,37.2,37.2,24,0,14.32
986717,Kruisfontein,ZA,-34.0,24.73,1619470652,63.0,63.0,84,62,7.0
1506268,Gornopravdinsk,RU,60.05,69.9,1619470652,34.75,34.75,83,37,6.42
2094027,Kieta,PG,-6.22,155.63,1619470652,80.85,80.85,79,83,2.89
3452483,Prado,BR,-17.34,-39.22,1619470653,77.68,77.68,77,13,10.25
